"지수종류(1)",2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03,2024.04,2024.04,2024.04,2024.05,2024.05,2024.05,2024.06,2024.06,2024.06,2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.11,2024.11,2024.11,2024.12,2024.12,2024.12,2025.01,2025.01,2025.01,2025.02,2025.02,2025.02,2025.03,2025.03,2025.03
"지수종류(1)",전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%)
"총지수",0.4,2.8,2.8,0.5,3.1,3.0,0.1,3.1,3.0,0.1,2.9,3.0,0.1,2.7,2.9,-0.2,2.4,2.8,0.3,2.6,2.8,0.4,2.0,2.7,0.1,1.6,2.6,0.0,1.3,2.4,-0.3,1.5,2.3,0.4,1.9,2.3,0.7,2.2,2.2,0.3,2.0,2.1,0.2,2.1,2.1
"생활물가지수",0.6,3.4,3.4,0.6,3.7,3.6,0.3,3.8,3.6,0.0,3.6,3.6,-0.1,3.1,3.5,-0.2,2.8,3.4,0.1,3.0,3.3,0.5,2.1,3.2,0.4,1.5,3.0,0.1,1.2,2.8,-0.4,1.6,2.7,0.2,2.2,2.7,1.0,2.5,2.5,0.6,2.6,2.6,0.2,2.4,2.5
"신선식품지수",5.7,14.4,14.4,6.1,20.0,17.2,1.3,19.5,18.0,-3.7,19.1,18.3,-3.0,17.3,18.1,-5.4,11.7,17.1,0.8,7.7,15.7,5.0,3.2,14.0,3.8,3.4,12.7,-2.5,1.6,11.4,-8.5,0.4,10.4,4.6,2.9,9.8,3.5,0.7,0.7,3.9,-1.4,-0.4,1.4,-1.3,-0.7
"식료품및에너지제외지수",0.4,2.5,2.5,0.3,2.5,2.5,0.1,2.4,2.5,0.2,2.3,2.5,0.2,2.2,2.4,0.0,2.2,2.4,0.3,2.2,2.3,0.1,2.1,2.3,-0.2,2.0,2.3,0.2,1.8,2.2,0.0,1.9,2.2,0.1,1.8,2.2,0.5,1.9,1.9,0.1,1.8,1.9,0.2,1.9,1.9
"농산물및석유류제외지수",0.3,2.6,2.6,0.2,2.6,2.6,0.0,2.4,2.6,0.2,2.3,2.5,0.2,2.0,2.4,0.1,2.0,2.3,0.1,2.1,2.3,0.1,1.9,2.2,0.1,1.8,2.2,0.3,1.7,2.1,0.0,1.8,2.1,0.2,1.8,2.1,0.5,2.0,2.0,0.1,1.9,2.0,0.2,2.1,2.0
